cell_line,filter_type,best_iou,mean_iou,best_config,best_improvement,mean_improvement,raw_iou,net_improvement
Huh7,trapezoidal,0.6006569967970722,0.2835680017860512,trap_0.01_03_25_35,0.0009089788023459722,-0.0015695446234482867,0.2851375464094995,0.3155194503875727
MCF7,butterworth,0.6259386562164766,0.2847884039182834,bw2_0.05_0.40,0.12123968226753898,-0.052800282801974824,0.33758868672025827,0.28834996949621833
MCF7,chebyshev1,0.6367645288717214,0.32997641204311295,cheb1_0.02_0.30,0.02591721566708105,-0.00761227467714531,0.33758868672025827,0.29917584215146314
MCF7,chebyshev2,0.5648227440905548,0.31409621570656987,cheb2_0.02_0.30,0.11375646358893277,-0.023492471013688388,0.33758868672025827,0.2272340573702965
MCF7,cosine,0.5915434780230001,0.3247967814587064,cos_0.02_0.30,0.036281572149938796,-0.012791905261551845,0.33758868672025827,0.25395479130274184
MCF7,dog,0.5673780838894708,0.2775739882167406,dog_003_010,0.16782113429003823,-0.06001469850351763,0.33758868672025827,0.22978939716921248
MCF7,elliptic,0.6393718927763291,0.34050700121259353,ellip_0.02_0.30,0.12873531226829915,0.0029183144923353383,0.33758868672025827,0.30178320605607084
MCF7,gaussian,0.6201430737316848,0.296113910707239,gauss_0.05_0.40,0.10859377926224226,-0.04147477601301921,0.33758868672025827,0.2825543870114265
MCF7,homomorphic,0.6336905931315276,0.33490450854339016,homo_0.5_2.0,0.09898728990456535,-0.0026841781768680473,0.33758868672025827,0.2961019064112694
MCF7,ideal,0.5857287152942207,0.28112577045046167,ideal_0.02_0.30,0.04405768695105586,-0.05646291626979658,0.33758868672025827,0.2481400285739624
MCF7,laplacian,0.48638347574844776,0.2268245315713532,lap_0.02_0.30,0.08196326973538297,-0.11076415514890503,0.33758868672025827,0.1487947890281895
MCF7,parametric,0.6174108902220081,0.3211510830182077,param_b1_s020,0.13936202032845416,-0.016437603702050513,0.33758868672025827,0.27982220350174986
MCF7,trapezoidal,0.5912225276603892,0.2868756327549363,trap_0.01_03_25_35,0.03832676422725914,-0.050713053965321914,0.33758868672025827,0.2536338409401309
SHSY5Y,butterworth,0.7340410416154329,0.1751406907790957,bw2_0.01_0.20,0.6354796044865619,-0.15027435855454857,0.32541504933364424,0.4086259922817887
SHSY5Y,chebyshev1,0.7379014848860785,0.18966342142934828,cheb1_0.02_0.30,0.5012912415941374,-0.13575162790429596,0.32541504933364424,0.4124864355524343
SHSY5Y,chebyshev2,0.73317013798668,0.3774261009778632,cheb2_0.02_0.30,0.6308561525332156,0.052011051644218986,0.32541504933364424,0.4077550886530357
SHSY5Y,cosine,0.44026638756275055,0.16598244446104887,cos_0.02_0.30,0.23835291818687243,-0.15943260487259536,0.32541504933364424,0.11485133822910631
SHSY5Y,dog,0.7989913209868106,0.5228857821799204,dog_005_020,0.67367729216227,0.1974707328462762,0.32541504933364424,0.47357627165316635
SHSY5Y,elliptic,0.7938266102682026,0.4967218846328886,ellip_0.02_0.30,0.6644478622039749,0.17130683529924431,0.32541504933364424,0.4684115609345583
SHSY5Y,gaussian,0.7516869501526385,0.21460010164582136,gauss_0.01_0.20,0.6282872520792981,-0.11081494768782289,0.32541504933364424,0.4262719008189943
SHSY5Y,homomorphic,0.2872468380649272,0.12563187140629023,homo_0.3_1.5,0.10757180819493957,-0.199783177927354,0.32541504933364424,-0.038168211268717056
SHSY5Y,ideal,0.39145918172128236,0.16214486291325772,ideal_0.02_0.30,0.23837268945365425,-0.16327018642038654,0.32541504933364424,0.06604413238763812
SHSY5Y,laplacian,0.7199013293134164,0.46238433190756056,lap_0.01_0.40,0.5971827080605792,0.1369692825739163,0.32541504933364424,0.3944862799797722
SHSY5Y,parametric,0.32089067556521056,0.13764991988584988,param_b2_s015,0.1299574506461913,-0.1877651294477944,0.32541504933364424,-0.004524373768433676
SHSY5Y,trapezoidal,0.392134677926266,0.14544605377335598,trap_0.01_03_25_35,0.06390172123799806,-0.17996899556028828,0.32541504933364424,0.06671962859262176
SKOV3,butterworth,0.963281173166654,0.5854831050265936,bw2_0.05_0.40,0.354918703158263,-0.04149799962904776,0.6269811046556414,0.3363000685110126
SKOV3,chebyshev1,0.9622264717934709,0.666004621739536,cheb1_0.02_0.30,0.3720618340031038,0.03902351708389467,0.6269811046556414,0.3352453671378295
SKOV3,chebyshev2,0.8102664529645696,0.4312012747769184,cheb2_0.02_0.30,0.23871080137684775,-0.195779829878723,0.6269811046556414,0.18328534830892818
SKOV3,cosine,0.9290222285364574,0.5927463729652828,cos_0.02_0.30,0.31070086554046394,-0.03423473169035863,0.6269811046556414,0.30204112388081605
SKOV3,dog,0.9239384793710156,0.33132132983358403,dog_003_010,0.831745619084634,-0.2956597748220574,0.6269811046556414,0.2969573747153742
SKOV3,elliptic,0.9450348893758163,0.685351001998594,ellip_0.02_0.30,0.8080896387724079,0.05836989734295262,0.6269811046556414,0.31805378472017487
SKOV3,gaussian,0.9652046823564765,0.6053319327644231,gauss_0.02_0.30,0.3603274390087069,-0.021649171891218337,0.6269811046556414,0.3382235777008351
SKOV3,homomorphic,0.9618435934281484,0.6783398418763492,homo_0.3_1.5,0.8159726795018256,0.051358737220707884,0.6269811046556414,0.334862488772507
SKOV3,ideal,0.923701329748722,0.5852636229502328,ideal_0.02_0.30,0.3060900575796067,-0.041717481705408566,0.6269811046556414,0.2967202250930806
SKOV3,laplacian,0.5462414753415346,0.20624790849887864,lap_0.02_0.30,0.1394593135879456,-0.42073319615676275,0.6269811046556414,-0.08073962931410683
SKOV3,parametric,0.9576229282032088,0.6150219788809032,param_b1_s020,0.8096882881422747,-0.01195912577473828,0.6269811046556414,0.33064182354756744
SKOV3,trapezoidal,0.940684078242815,0.6020518721326396,trap_0.01_03_25_35,0.3272378400174939,-0.02492923252300176,0.6269811046556414,0.3137029735871736
SkBr3,butterworth,0.3966784019592836,0.1976027595688956,bw2_0.01_0.20,0.25665612093992696,0.014457593915325306,0.18314516565357028,0.21353323630571333
SkBr3,chebyshev1,0.271540734256169,0.17851235268730464,cheb1_0.02_0.30,0.06054730316984758,-0.004632812966265626,0.18314516565357028,0.0883955686025987
SkBr3,chebyshev2,0.4486323212298755,0.26449017359661614,cheb2_0.02_0.30,0.26435871911203485,0.08134500794304587,0.18314516565357028,0.2654871555763052
SkBr3,cosine,0.25400799138548324,0.19223025897800158,cos_0.02_0.30,0.0665028875610206,0.009085093324431305,0.18314516565357028,0.07086282573191297
SkBr3,dog,0.6303187483397098,0.34687471952118676,dog_005_020,0.4783502186619319,0.16372955386761645,0.18314516565357028,0.4471735826861395
SkBr3,elliptic,0.5891255697393836,0.254218674291532,ellip_0.02_0.30,0.3970813239871483,0.07107350863796175,0.18314516565357028,0.40598040408581326
SkBr3,gaussian,0.3954877928779944,0.20036858848235234,gauss_0.01_0.20,0.25546551185863775,0.017223422828782094,0.18314516565357028,0.21234262722442412
SkBr3,homomorphic,0.2280029031087456,0.18059144709625974,homo_0.3_1.5,0.10891595107181531,-0.0025537185573105245,0.18314516565357028,0.04485773745517532
SkBr3,ideal,0.27174991323263764,0.1970527530889165,ideal_0.02_0.30,0.12154239574426867,0.013907587435346255,0.18314516565357028,0.08860474757906736
SkBr3,laplacian,0.5455896996374792,0.3249167329510424,lap_0.01_0.40,0.39362116995970126,0.14177156729747215,0.18314516565357028,0.36244453398390886
SkBr3,parametric,0.2648320573832678,0.19891022901854688,param_b2_s015,0.1378449898647863,0.01576506336497661,0.18314516565357028,0.08168689172969754
SkBr3,trapezoidal,0.25610725929650713,0.1927399706680362,trap_0.01_03_25_35,0.06936471732582525,0.00959480501446595,0.18314516565357028,0.07296209364293685
