filename,cell_line,degradation,method,iou,improvement
MCF7_Phase_E4_1_01d20h00m_1,MCF7,HQ_reference,raw_HQ,0.3264538644363549,0.03872765509953896
MCF7_Phase_E4_1_01d20h00m_1,MCF7,combined_mild,raw,0.26111965278446914,0.0
MCF7_Phase_E4_1_01d20h00m_1,MCF7,combined_mild,DeBCR,0.2602601239550065,-0.0008595288294626635
MCF7_Phase_E4_1_01d20h00m_1,MCF7,combined_mild,PI-DDPM,0.26598600008283974,0.004866347298370599
MCF7_Phase_E4_1_01d20h00m_1,MCF7,combined_mild,PSF-Learning,0.18554078764225868,-0.07557886514221046
MCF7_Phase_E4_1_01d20h00m_1,MCF7,combined_mild,DoG_filter,0.29503715790310553,0.03391750511863639
MCF7_Phase_E4_1_01d20h00m_1,MCF7,combined_mild,DeBCR+DoG,0.3006342691246085,0.039514616340139364
MCF7_Phase_E4_1_01d20h00m_1,MCF7,HQ_reference,raw_HQ,0.3264538644363549,0.06533421165188574
MCF7_Phase_E4_1_02d00h00m_2,MCF7,noise_50,raw,0.31869551178559896,0.0
MCF7_Phase_E4_1_02d00h00m_2,MCF7,noise_50,DeBCR,0.3191710455526977,0.00047553376709874584
MCF7_Phase_E4_1_02d00h00m_2,MCF7,noise_50,PI-DDPM,0.31990137346311287,0.0012058616775139086
MCF7_Phase_E4_1_02d00h00m_2,MCF7,noise_50,PSF-Learning,0.24911179634998576,-0.0695837154356132
MCF7_Phase_E4_1_02d00h00m_2,MCF7,noise_50,DoG_filter,0.32457995167927395,0.005884439893674986
MCF7_Phase_E4_1_02d00h00m_2,MCF7,noise_50,DeBCR+DoG,0.3263490714314501,0.007653559645851127
MCF7_Phase_E4_1_02d00h00m_2,MCF7,HQ_reference,raw_HQ,0.369944142334418,0.05124863054881906
MCF7_Phase_E4_1_02d00h00m_2,MCF7,combined_mild,raw,0.3307713536067485,0.0
MCF7_Phase_E4_1_02d00h00m_2,MCF7,combined_mild,DeBCR,0.3466447046838994,0.015873351077150932
MCF7_Phase_E4_1_02d00h00m_2,MCF7,combined_mild,PI-DDPM,0.3243075539193843,-0.006463799687364158
MCF7_Phase_E4_1_02d00h00m_2,MCF7,combined_mild,PSF-Learning,0.2046380680905733,-0.12613328551617517
MCF7_Phase_E4_1_02d00h00m_2,MCF7,combined_mild,DoG_filter,0.33481192583464037,0.004040572227891892
MCF7_Phase_E4_1_02d00h00m_2,MCF7,combined_mild,DeBCR+DoG,0.3361460811958197,0.005374727589071204
MCF7_Phase_E4_1_02d00h00m_2,MCF7,HQ_reference,raw_HQ,0.369944142334418,0.03917278872766955
